[            ST   ST_conf
TEMP  0.007566  0.009252
RH    1.758022  0.049072
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.115661  0.069432
RH    1.889120  0.036553
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)   -0.225578  0.088240
(TEMP, CO2)   0.008371  0.042599
(TEMP, PPFD)  0.008371  0.042599
(TEMP, H)     0.008371  0.042599
(RH, CO2)    -0.018449  0.022581
(RH, PPFD)   -0.018449  0.022581
(RH, H)      -0.018449  0.022581
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
