[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  1.002549  0.250829
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  1.011819  0.361941
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  1.588522e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  1.588522e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.000000  1.588522e-16
(CO2, H)      0.000000  0.000000e+00
(PPFD, H)    -0.018541  4.359996e-01]
