[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.284744  0.110704
PPFD  0.729745  0.250902
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.176300  0.239780
PPFD  0.735106  0.318909
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   2.775558e-17  9.432854e-17
(TEMP, PPFD)  0.000000e+00  1.732398e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     2.775558e-17  9.432854e-17
(RH, PPFD)    0.000000e+00  1.732398e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   1.823993e-01  4.127784e-01
(CO2, H)      8.287724e-02  3.642045e-01
(PPFD, H)    -1.420686e-01  4.401615e-01]
